LastPayDex,PayDex2,PayDex4
78.75,65.25,79.75
57.0,77.0,79.0
41.0,47.5,61.25
77.25,79.5,73.75
78.0,79.0,74.25
68.0,77.25,61.75
80.0,79.5,80.0
80.0,79.5,61.75
80.0,80.0,78.5
81.0,83.0,86.0
73.25,76.0,76.5
68.0,77.25,62.0
78.5,79.75,79.5
80.0,68.0,67.0
80.0,80.0,75.75
60.75,62.0,61.5
70.25,60.5,75.75
79.25,79.25,79.25
71.0,72.75,78.0
80.0,80.0,80.0
69.0,77.0,78.75
78.0,78.0,77.0
58.25,57.0,74.5
71.0,72.75,68.5
47.0,60.0,61.5
45.75,45.5,66.0
74.0,72.25,80.25
71.25,77.5,77.5
68.0,74.0,72.0
79.25,77.25,73.75
78.25,73.25,80.0
65.0,80.0,80.0
80.0,80.0,80.0
48.75,60.0,60.5
77.0,78.5,78.0
80.0,80.0,80.0
80.0,80.0,70.0
68.0,74.0,74.0
80.0,80.0,80.0
74.0,55.0,79.0
66.25,77.5,70.0
61.0,73.0,72.0
66.75,62.25,78.25
72.5,70.5,71.75
75.75,73.75,74.5
74.5,78.25,78.25
80.0,80.0,63.5
70.5,63.25,73.25
38.25,42.75,47.25
79.5,79.75,78.5
64.0,72.5,79.5
76.0,77.75,68.5
80.0,59.0,72.25
66.0,72.5,78.5
27.0,28.0,27.0
71.5,70.0,73.5
68.75,75.0,69.75
80.0,78.25,77.75
69.75,69.0,67.0
79.75,76.25,75.25
80.0,80.0,80.0
61.25,60.0,61.5
79.25,77.25,74.5
75.25,72.5,72.25
79.75,79.75,80.0
74.5,78.25,78.25
76.0,76.75,74.0
74.5,74.25,74.25
80.0,71.5,75.75
80.0,80.0,80.0
66.75,78.5,73.75
79.0,76.0,80.0
77.25,68.25,64.5
80.0,80.0,62.0
53.75,62.75,67.75
71.5,75.25,73.5
80.0,80.0,60.75
78.25,77.75,77.25
81.0,80.0,74.0
78.5,79.5,69.5
66.75,79.25,79.0
67.25,61.5,61.5
73.0,75.75,75.75
64.5,78.0,77.25
66.0,72.5,74.25
66.0,67.25,74.25
70.0,73.5,72.75
80.0,80.0,79.0
78.0,77.25,70.5
78.75,79.75,78.0
78.75,74.0,72.0
78.0,78.0,74.0
71.25,75.75,73.75
76.0,76.0,76.0
56.0,59.25,63.75
49.5,67.5,65.0
80.0,80.0,80.0
79.75,77.5,77.5
67.75,73.75,79.75
79.75,79.75,77.0
80.25,80.25,80.0
71.25,79.0,76.5
80.0,80.0,80.0
80.0,51.5,80.0
62.25,67.75,72.0
77.0,77.0,68.25
73.0,73.0,73.0
24.0,50.0,79.0
80.0,80.0,78.0
79.0,79.25,65.75
75.0,74.0,80.0
73.5,71.0,71.5
74.0,56.25,57.5
75.25,70.0,73.5
78.5,80.0,78.5
80.0,80.0,80.0
78.5,75.5,76.0
57.75,60.0,59.25
73.25,75.5,74.0
80.0,80.0,79.0
67.25,60.0,53.25
80.0,80.0,80.0
56.25,56.25,73.25
79.0,76.0,80.0
78.25,77.5,77.5
80.0,79.0,79.0
73.0,70.25,68.75
77.75,72.25,76.5
80.0,80.0,80.0
80.0,76.75,71.75
79.25,77.25,73.75
80.0,59.75,63.5
80.0,74.0,60.75
72.0,75.25,79.75
66.0,72.5,78.5
72.75,75.75,74.75
80.0,80.0,80.0
30.0,80.0,80.0
80.0,80.0,80.0
69.0,73.0,80.0
62.0,61.25,46.25
74.25,60.5,79.25
80.0,80.0,80.0
78.75,77.0,79.5
49.75,61.5,58.75
76.0,76.0,76.0
80.0,80.0,73.75
73.75,71.25,70.75
78.25,76.75,77.0
77.0,77.0,80.0
70.0,80.0,79.0
67.0,80.0,74.25
77.5,80.5,75.75
63.75,59.25,59.25
79.0,79.0,78.0
80.0,77.75,47.0
77.5,78.5,79.5
80.0,72.75,76.75
79.25,72.0,62.75
80.0,87.25,83.25
65.25,72.5,72.0
79.0,79.0,79.0
78.0,64.5,70.75
80.0,79.0,78.5
78.0,72.0,73.0
72.75,65.5,70.0
79.5,78.0,77.0
60.75,59.25,60.0
61.75,61.25,73.25
80.0,80.0,80.0
42.75,43.5,62.5
77.0,74.5,74.25
69.0,80.0,80.0
66.0,65.75,78.5
80.0,74.0,60.75
80.0,80.0,78.5
78.5,71.25,71.75
71.0,72.5,80.25
60.75,72.75,77.75
80.0,80.0,78.75
71.0,73.75,79.75
50.25,51.75,54.75
80.0,79.5,80.0
78.25,80.0,80.0
4.0,4.0,32.0
80.0,80.0,67.0
79.5,79.25,65.75
75.0,64.0,63.0
79.5,79.5,78.5
74.0,76.0,73.75
79.0,79.25,78.5
76.0,81.0,81.0
79.5,80.0,78.5
70.0,80.0,71.5
61.0,65.5,64.75
41.5,56.25,61.0
65.25,47.5,47.5
69.5,79.75,68.25
80.0,80.0,79.0
49.75,42.25,49.25
79.25,77.75,78.5
53.0,51.0,77.75
80.25,76.5,76.75
63.0,78.5,78.5
78.25,76.75,77.0
80.0,56.0,71.0
73.75,75.75,79.25
80.0,80.0,80.0
75.75,74.5,73.5
73.0,70.0,54.0
73.0,70.25,74.75
75.0,74.25,73.25
65.0,67.0,80.0
79.5,79.0,72.75
80.0,80.0,80.0
73.25,71.0,76.5
61.5,61.5,46.0
80.0,80.0,80.0
81.25,81.5,81.5
80.0,80.0,60.0
78.25,80.0,80.0
78.75,79.25,78.25
80.0,80.0,80.0
79.25,75.75,76.5
80.0,80.0,80.0
76.75,61.25,70.25
45.75,45.5,66.0
78.5,67.5,78.5
71.5,79.0,78.75
80.0,80.0,73.75
75.75,71.25,75.75
80.0,80.0,80.0
40.0,40.0,79.0
79.0,78.0,80.0
73.75,68.25,76.0
80.0,80.0,80.0
70.0,74.5,79.0
75.0,74.25,73.25
62.0,63.0,73.25
74.0,80.0,78.5
79.0,80.0,80.0
80.0,80.0,80.0
80.0,80.0,80.0
41.0,46.0,70.0
79.25,72.5,76.75
80.0,80.0,80.0
79.0,73.25,80.0
70.0,79.5,80.75
73.5,73.75,70.75
77.5,72.75,68.75
79.75,74.25,75.0
62.0,61.25,60.0
80.0,73.25,80.0
80.0,80.0,72.0
80.0,78.75,80.0
75.0,73.5,77.5
50.0,50.0,50.0
63.0,70.25,74.75
80.0,80.0,63.5
53.5,71.25,80.5
80.0,73.25,80.0
80.0,80.0,80.0
78.5,77.5,72.25
72.75,54.5,69.0
63.0,64.0,64.0
81.25,80.75,81.5
77.25,77.75,75.0
71.0,77.25,76.5
80.0,80.0,80.0
61.5,61.0,61.0
80.0,80.0,80.0
80.0,80.0,80.0
75.5,75.5,78.75
58.25,60.75,60.5
80.0,80.0,80.0
80.0,80.0,63.5
80.0,80.0,80.0
76.0,77.0,79.25
80.25,80.25,76.25
80.0,80.0,80.0
79.5,81.0,78.0
75.75,73.75,74.5
79.25,79.25,79.0
74.75,75.0,73.75
47.0,64.75,58.0
80.0,80.0,80.0
69.5,79.75,77.75
64.75,78.5,78.25
78.25,80.0,80.0
80.0,71.25,71.25
70.0,60.25,60.75
55.0,55.0,61.5
72.25,65.25,69.75
78.0,80.0,80.0
80.0,80.0,80.0
76.0,76.75,74.0
80.0,80.0,80.0
77.5,77.5,65.25
80.0,80.0,80.0
6.0,5.0,80.0
64.75,78.5,71.5
62.25,67.5,78.5
78.5,73.25,74.0
66.75,62.5,61.5
80.0,80.0,80.0
76.5,75.0,74.5
76.25,72.0,67.0
68.5,71.0,70.5
79.5,77.5,77.5
80.0,80.0,80.0
80.0,80.0,80.0
52.0,50.0,82.0
80.0,53.0,56.0
71.0,61.25,58.25
81.0,81.0,82.0
68.75,66.75,71.5
71.5,70.0,73.5
80.0,59.25,70.75
75.0,75.0,77.0
68.25,60.5,68.75
80.0,78.5,79.0
80.0,56.0,72.75
73.25,74.5,72.75
72.0,77.0,80.0
80.0,80.0,80.0
84.0,84.0,85.0
44.25,46.75,46.5
77.5,73.75,73.25
66.0,65.75,78.5
79.5,79.5,78.5
59.25,65.75,73.0
80.0,80.0,78.75
75.25,65.5,70.0
80.0,80.0,80.0
65.25,65.25,78.75
74.25,73.5,73.25
79.75,62.75,60.75
80.0,80.0,76.25
53.5,61.5,61.5
74.5,75.5,80.0
58.75,58.75,65.5
80.0,80.0,80.0
71.0,76.5,60.0
59.75,72.75,76.25
4.0,4.0,72.0
79.0,80.0,80.0
76.5,73.0,73.5
78.5,73.25,74.0
71.25,77.25,77.5
80.0,80.0,66.5
80.0,80.0,80.0
64.75,80.0,71.75
79.0,83.75,78.75
77.0,74.25,77.0
50.25,77.5,73.0
61.0,66.0,66.0
77.25,76.0,75.5
79.5,81.0,80.75
78.75,80.0,79.0
57.5,71.25,80.5
77.25,78.75,76.0
80.0,80.0,70.0
79.0,79.0,80.0
46.0,46.0,59.0
75.75,76.75,80.0
80.0,77.0,76.75
73.75,72.25,80.25
81.0,80.0,78.5
77.0,77.0,55.0
70.75,55.25,55.5
80.0,80.0,80.0
80.0,80.0,80.0
69.75,64.25,79.0
79.5,78.0,77.0
67.5,68.0,68.0
43.5,59.5,74.25
80.0,69.0,53.25
80.0,80.0,80.0
55.5,58.75,65.5
68.5,62.75,77.0
73.25,71.5,66.75
80.25,72.75,75.75
79.0,83.75,83.75
66.75,78.5,78.25
68.75,74.25,78.75
79.25,77.25,73.75
47.0,60.0,53.5
73.25,75.75,76.5
78.25,80.0,80.0
66.5,76.0,79.0
71.0,74.5,75.25
79.25,79.25,78.5
72.25,70.75,75.75
79.0,79.0,80.0
